,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location,Amenities,Cost of Living,Crime,Education,Employment
46,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.031,0.909,0.099,0.034,0.10300000000000001,0.071,0.064,Prospect Heights,BK64,"{'lat': 42.0953, 'lng': -87.93757}",0.9065000000000001,0.614,0.05815,0.31035,0.0064
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.046,0.888,0.24100000000000002,0.071,0.233,0.18100000000000002,0.133,Fort Greene,BK68,"{'lat': 40.69371, 'lng': -73.96708}",0.9760000000000002,0.6688,0.12769999999999998,0.40385000000000004,0.013300000000000001
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.051,0.875,0.19399999999999998,0.064,0.139,0.087,0.08900000000000001,Clinton Hill,BK69,"{'lat': 40.68972, 'lng': -73.96528}",0.9760000000000002,0.6634,0.09025,0.32394999999999996,0.008900000000000002
49,0.0,1.0,0.0,0.4,0.1,1.0,0.1,0.0,0.6,0.253,0.948,0.565,0.015,0.051,0.305,0.057999999999999996,Williamsburg,BK72,"{'lat': 44.77361, 'lng': -85.40396}",0.29700000000000004,0.45194999999999996,0.0276,0.35924999999999996,0.0058
50,0.0,0.4,0.0,0.05,0.0,0.5,0.0,0.0,0.1,0.08900000000000001,0.862,0.225,0.057,0.163,0.165,0.071,North Side,BK73,"{'lat': 19.35, 'lng': -81.2}",0.10400000000000001,0.20404999999999998,0.09409999999999999,0.15275000000000002,0.0070999999999999995
51,0.15,1.0,0.7,0.55,0.7,1.0,0.5,0.0,1.0,0.08900000000000001,0.862,0.225,0.057,0.163,0.165,0.071,South Side,BK73,"{'lat': 29.44386, 'lng': -82.25427}",0.6305,0.5390499999999999,0.09409999999999999,0.27775000000000005,0.0070999999999999995
52,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.11900000000000001,0.89,0.34299999999999997,0.083,0.13699999999999998,0.225,0.132,Bedford,BK75,"{'lat': 32.84402, 'lng': -97.14307}",0.8680000000000001,0.6375500000000001,0.10189999999999999,0.44125000000000003,0.013200000000000002
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.039,0.8109999999999999,0.125,0.044000000000000004,0.092,0.094,0.069,Greenpoint,BK76,"{'lat': 40.72371, 'lng': -73.95097}",0.9760000000000002,0.6438999999999999,0.06080000000000001,0.32989999999999997,0.006900000000000001
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.092,0.8590000000000001,0.3,0.121,0.19699999999999998,0.268,0.131,Ocean Hill,BK79,"{'lat': 40.67417, 'lng': -73.91167}",0.9760000000000002,0.6818500000000001,0.14759999999999998,0.4778,0.0131
57,0.05,1.0,0.2,0.25,0.0,1.0,0.1,0.0,1.0,0.08,0.875,0.4,0.10099999999999999,0.161,0.272,0.151,Brownsville,BK81,"{'lat': 25.90175, 'lng': -97.49748}",0.32350000000000007,0.5062500000000001,0.122,0.2937,0.0151
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.136,0.89,0.332,0.091,0.19,0.221,0.139,East New York,BK82,"{'lat': 40.66677, 'lng': -73.88236}",0.9775000000000001,0.7007,0.12564999999999998,0.43784999999999996,0.013900000000000003
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.23199999999999998,0.845,0.302,0.067,0.134,0.285,0.086,Cypress Hills,BK83,"{'lat': 40.67705, 'lng': -73.89125}",0.9775000000000001,0.7149500000000001,0.09045,0.49224999999999997,0.0086
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.23199999999999998,0.845,0.302,0.067,0.134,0.285,0.086,City Line,BK83,"{'lat': 40.67621, 'lng': -73.88708}",0.9775000000000001,0.7149500000000001,0.09045,0.49224999999999997,0.0086
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.23600000000000002,0.9009999999999999,0.373,0.02,0.036000000000000004,0.285,0.063,Borough Park,BK88,"{'lat': 40.63399, 'lng': -73.99681}",0.9760000000000002,0.73145,0.0256,0.49224999999999997,0.0063
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.077,0.8809999999999999,0.124,0.055999999999999994,0.113,0.125,0.102,East Flatbush,BK91,"{'lat': 40.65371, 'lng': -73.93042}",0.9760000000000002,0.6638,0.07594999999999999,0.35625,0.0102
65,0.1,1.0,1.0,0.9,1.0,1.0,1.0,0.0,1.0,0.077,0.8809999999999999,0.124,0.055999999999999994,0.113,0.125,0.102,Farragut,BK91,"{'lat': 35.88452, 'lng': -84.15353}",0.8050000000000002,0.5738,0.07594999999999999,0.33125,0.0102
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.057,0.9520000000000001,0.32,0.023,0.08800000000000001,0.205,0.156,Starrett City,BK93,"{'lat': 40.66677, 'lng': -73.88236}",0.9775000000000001,0.68905,0.04575,0.42425,0.015600000000000001
67,0.0,1.0,0.85,0.0,0.0,0.2,0.0,0.0,0.2,0.127,0.823,0.23,0.09,0.165,0.192,0.14300000000000002,Erasmus,BK95,"{'lat': -25.81015, 'lng': 28.74248}",0.403,0.2382,0.11624999999999999,0.1632,0.014300000000000002
68,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.087,0.846,0.18600000000000003,0.06,0.114,0.17600000000000002,0.114,Rugby,BK96,"{'lat': 48.36889, 'lng': -99.99625}",0.003,0.16724999999999998,0.0789,0.1496,0.0114
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.163,0.877,0.506,0.067,0.134,0.39899999999999997,0.217,Claremont,BX01,"{'lat': 34.09668, 'lng': -117.71978}",0.9805000000000001,0.7228999999999999,0.09045,0.58915,0.0217
72,0.15,1.0,1.0,0.45,0.7,1.0,0.05,0.0,1.0,0.163,0.877,0.506,0.067,0.134,0.39899999999999997,0.217,Bathgate,BX01,"{'lat': 55.90204, 'lng': -3.64398}",0.6829999999999999,0.5429,0.09045,0.45164999999999994,0.0217
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.073,0.892,0.18,0.049,0.085,0.196,0.14400000000000002,Eastchester,BX03,"{'lat': 40.95754, 'lng': -73.80976}",0.9775000000000001,0.67005,0.0616,0.41659999999999997,0.014400000000000003
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.073,0.892,0.18,0.049,0.085,0.196,0.14400000000000002,Baychester,BX03,"{'lat': 40.86121, 'lng': -73.84125}",0.9775000000000001,0.67005,0.0616,0.41659999999999997,0.014400000000000003
76,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.168,0.8220000000000001,0.335,0.059000000000000004,0.134,0.341,0.162,Bedford Park,BX05,"{'lat': 41.76281, 'lng': -87.80006}",0.9065000000000001,0.6587999999999999,0.08524999999999999,0.5398499999999999,0.016200000000000003
78,0.15,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0.151,0.83,0.461,0.07200000000000001,0.147,0.391,0.12,Belmont,BX06,"{'lat': 43.07558, 'lng': -85.6092}",0.6825000000000001,0.62335,0.09825,0.5823499999999999,0.012
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.109,0.816,0.258,0.049,0.08800000000000001,0.27,0.146,Bronxdale,BX07,"{'lat': 40.85524, 'lng': -73.86529}",0.9775000000000001,0.67545,0.06265000000000001,0.47950000000000004,0.0146
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14400000000000002,0.784,0.348,0.063,0.106,0.38299999999999995,0.142,West Farms,BX08,"{'lat': 40.83982, 'lng': -73.87764}",0.9775000000000001,0.6884000000000001,0.07805,0.57555,0.014199999999999999
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14400000000000002,0.784,0.348,0.063,0.106,0.38299999999999995,0.142,Bronx River,BX08,"{'lat': 40.80816, 'lng': -73.86764}",0.9775000000000001,0.6884000000000001,0.07805,0.57555,0.014199999999999999
83,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.05,1.0,0.068,0.894,0.276,0.045,0.11199999999999999,0.259,0.11900000000000001,Castle Hill,BX09,"{'lat': -33.73333, 'lng': 151.0}",0.9430000000000001,0.5837,0.06844999999999998,0.47015,0.0119
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.068,0.894,0.276,0.045,0.11199999999999999,0.259,0.11900000000000001,Clason Point,BX09,"{'lat': 40.81363, 'lng': -73.86179}",0.9775000000000001,0.6787,0.06844999999999998,0.47015,0.0119
85,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.068,0.894,0.276,0.045,0.11199999999999999,0.259,0.11900000000000001,Harding Park,BX09,"{'lat': 42.4742, 'lng': -83.12743}",0.919,0.6486999999999999,0.06844999999999998,0.47015,0.0119
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.024,0.9329999999999999,0.10300000000000001,0.024,0.068,0.174,0.09300000000000001,Pelham Bay,BX10,"{'lat': 40.85056, 'lng': -73.83333}",0.9775000000000001,0.65625,0.039400000000000004,0.3979,0.009300000000000001
87,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.024,0.9329999999999999,0.10300000000000001,0.024,0.068,0.174,0.09300000000000001,Country Club,BX10,"{'lat': 25.94815, 'lng': -80.317}",0.8965000000000002,0.61125,0.039400000000000004,0.3979,0.009300000000000001
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.024,0.9329999999999999,0.10300000000000001,0.024,0.068,0.174,0.09300000000000001,City Island,BX10,"{'lat': 40.84732, 'lng': -73.78652}",0.9775000000000001,0.65625,0.039400000000000004,0.3979,0.009300000000000001
89,0.0,0.6,0.05,0.0,0.0,0.35,0.0,0.0,0.0,0.045,0.925,0.10099999999999999,0.022000000000000002,0.08,0.16,0.124,Co,BX13,"{'lat': 4.0, 'lng': -73.25}",0.136,0.16010000000000002,0.0423,0.136,0.012400000000000001
90,0.0,0.25,0.05,0.0,0.0,0.35,0.0,0.0,0.0,0.045,0.925,0.10099999999999999,0.022000000000000002,0.08,0.16,0.124,op City,BX13,"{'lat': 50.66667, 'lng': 17.9}",0.07650000000000001,0.16010000000000002,0.0423,0.136,0.012400000000000001
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.16699999999999998,0.84,0.359,0.068,0.10800000000000001,0.389,0.153,Concourse Village,BX14,"{'lat': 40.82361, 'lng': -73.92111}",0.9775000000000001,0.70365,0.082,0.58065,0.015300000000000001
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.126,0.847,0.45299999999999996,0.065,0.153,0.409,0.233,East Tremont,BX17,"{'lat': 40.84538, 'lng': -73.89097}",0.9775000000000001,0.70385,0.0958,0.59765,0.0233
94,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.032,0.9470000000000001,0.085,0.015,0.055999999999999994,0.08,0.075,North Riverdale,BX22,"{'lat': 39.79228, 'lng': -84.21022}",0.8184999999999999,0.56855,0.029349999999999994,0.318,0.0075
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.032,0.9470000000000001,0.085,0.015,0.055999999999999994,0.08,0.075,Fieldston,BX22,"{'lat': 40.89444, 'lng': -73.90333}",0.9775000000000001,0.65855,0.029349999999999994,0.318,0.0075
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.032,0.9470000000000001,0.085,0.015,0.055999999999999994,0.08,0.075,Riverdale,BX22,"{'lat': 40.99399, 'lng': -74.30348}",0.9760000000000002,0.65855,0.029349999999999994,0.318,0.0075
97,0.1,1.0,1.0,0.45,0.8,1.0,0.05,0.0,1.0,0.14800000000000002,0.853,0.43,0.06,0.08900000000000001,0.359,0.184,Highbridge,BX26,"{'lat': 51.21667, 'lng': -2.98333}",0.6905,0.52295,0.07015,0.41764999999999997,0.0184
98,0.35,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.13,0.8270000000000001,0.42700000000000005,0.14400000000000002,0.217,0.414,0.183,Hunts Point,BX27,"{'lat': 47.64343, 'lng': -122.23012}",0.8700000000000001,0.63425,0.16955,0.6019,0.0183
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.053,0.92,0.115,0.035,0.092,0.129,0.081,Spuyten Duyvil,BX29,"{'lat': 40.88121, 'lng': -73.91736}",0.9775000000000001,0.66275,0.05495,0.35965,0.008100000000000001
101,0.0,1.0,0.4,0.05,0.2,0.95,0.0,0.0,1.0,0.053,0.92,0.115,0.035,0.092,0.129,0.081,Kingsbridge,BX29,"{'lat': 50.28451, 'lng': -3.77638}",0.36900000000000005,0.46275,0.05495,0.12215,0.008100000000000001
103,0.0,1.0,0.2,0.25,0.25,1.0,0.2,0.05,1.0,0.065,0.909,0.129,0.025,0.069,0.217,0.141,Allerton,BX31,"{'lat': 39.9117, 'lng': -87.93642}",0.3595,0.48550000000000004,0.040400000000000005,0.24695,0.0141
105,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.136,0.835,0.385,0.08199999999999999,0.179,0.43700000000000006,0.127,Longwood,BX33,"{'lat': 28.70305, 'lng': -81.3384}",0.8255000000000001,0.6127499999999999,0.11595,0.6214500000000001,0.012700000000000001
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.157,0.858,0.36200000000000004,0.067,0.11800000000000001,0.374,0.158,Morrisania,BX35,"{'lat': 40.82927, 'lng': -73.90653}",0.9775000000000001,0.70415,0.08485000000000001,0.5679000000000001,0.0158
109,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.157,0.858,0.36200000000000004,0.067,0.11800000000000001,0.374,0.158,Melrose,BX35,"{'lat': 42.45843, 'lng': -71.06616}",0.881,0.64915,0.08485000000000001,0.5679000000000001,0.0158
110,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.12300000000000001,0.8220000000000001,0.415,0.049,0.087,0.318,0.196,University Heights,BX36,"{'lat': 41.49783, 'lng': -81.53735}",0.8355,0.6155499999999999,0.062299999999999994,0.5203,0.019600000000000003
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.12300000000000001,0.8220000000000001,0.415,0.049,0.087,0.318,0.196,Morris Heights,BX36,"{'lat': 40.84982, 'lng': -73.91986}",0.9775000000000001,0.69555,0.062299999999999994,0.5203,0.019600000000000003
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Van Nest,BX37,"{'lat': 40.84843, 'lng': -73.86375}",0.9775000000000001,0.67945,0.0701,0.46675,0.014400000000000003
113,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Morris Park,BX37,"{'lat': 29.93854, 'lng': -90.09063}",0.8184999999999999,0.58945,0.0701,0.46675,0.014400000000000003
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Westchester Square,BX37,"{'lat': 40.84083, 'lng': -73.84306}",0.9775000000000001,0.67945,0.0701,0.46675,0.014400000000000003
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.135,0.8140000000000001,0.46399999999999997,0.052000000000000005,0.154,0.429,0.14800000000000002,Mott Haven,BX39,"{'lat': 40.80899, 'lng': -73.92291}",0.9775000000000001,0.7022499999999999,0.0877,0.6146499999999999,0.014800000000000002
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.135,0.8140000000000001,0.46399999999999997,0.052000000000000005,0.154,0.429,0.14800000000000002,Port Morris,BX39,"{'lat': 40.80149, 'lng': -73.90958}",0.9775000000000001,0.7022499999999999,0.0877,0.6146499999999999,0.014800000000000002
